Run,Learning_Rate,Dropout,Conv_Layers,Units_Last_Layer,Filters_Layer_1,Filters_Layer_2,Run_Type,trainable_params,visual_overfitting,train_acc,train_loss,val_acc,val_loss,overfitting_gap,precision_female,recall_female,F1-score_female,precision_male,recall_male,F1-score_male,F1-score accuracy
15,0.001,0.3,1,2048,16,32,Axial,130061073,0.5,0.8486455,0.3543685,0.81383,0.497135,0.0348155,0.775,0.815,0.795,0.855,0.81,0.83,0.815
16,0.0005,0.5,4,4096,8,64,Factorial,9524297,1,0.838045,0.3494055,0.851064,0.384194,-0.013019,0.82,0.855,43.405,0.89,0.85,0.865,0.85
17,0.001,0.3,3,2048,64,32,Axial,25734305,0.75,0.8757365,0.2988515,0.81383,0.439784,0.0619065,0.78,0.82,0.79,0.865,0.815,0.83,0.815
18,0.0005,0.5,4,4096,32,64,Factorial,9539297,1,0.8568905,0.33742,0.856383,0.3393815,0.0005075,0.81,0.88,0.845,0.9,0.84,0.865,0.855
19,0.005,0.5,4,1024,32,64,Factorial,2455265,0,0.507656,0.6932145,0.43617,0.694845,0.071486,0.44,1,0.61,0,0,0,0.44
20,0.0005,0.2,2,4096,8,64,Factorial,235942857,1,0.8621905,0.343265,0.8457445,0.5079885,0.016446,0.75,0.98,0.845,0.975,0.745,0.845,0.845
21,0.0005,0.5,2,4096,8,16,Factorial,58992153,0.75,0.8557125,0.338652,0.8297875,0.417601,0.025925,0.755,0.905,0.82,0.91,0.77,0.84,0.83
22,0.00025,0.3,3,2048,16,32,Axial,25718129,0,0.8975265,0.2610735,0.808511,0.442666,0.0890155,0.75,0.84,0.795,0.865,0.78,0.82,0.81
23,0.0005,0.5,4,1024,8,16,Factorial,2409113,1,0.8203765,0.3872595,0.8457445,0.367434,-0.025368,0.77,0.925,0.84,0.935,0.785,0.85,0.845
24,0.005,0.5,4,4096,8,64,Factorial,9524297,1,0.7255595,0.5440005,0.718085,0.581221,0.0074745,0.645,0.78,0.705,0.8,0.67,0.73,0.715
